SNo.,Article Type,Title,Journal/Conference/Book chapter Name,Year,Vol/Issue/pages,citations,Authors
1,Conference Paper,Neural Networks based Hand-crafted genetic learning approach to simulate Space Mario Game,"Proceedings - International Conference on Smart Electronics and Communication, ICOSEC 2020",2020," pp. 1–5, 9215233","0
Citations","Rawat, S.S., Rawat, K.S., Rawat, V., Nijhawan, R."
2,Conference Paper,A novel convolutional neural network-gated recurrent unit approach for image captioning,"Proceedings of the 3rd International Conference on Smart Systems and Inventive Technology, ICSSIT 2020",2020," pp. 704–708, 9214109","0
Citations","Rawat, S.S., Rawat, K.S., Nijhawan, R."
3,Conference Paper,A Deep Learning Framework Approach for Urban Area Classification Using Remote Sensing Data,Advances in Intelligent Systems and Computing,2020," 1022 AISC, pp. 449–456","0
Citations","Nijhawan, R., Jindal, R., Sharma, H., Raman, B., Das, J."
4,Book Chapter,An integrated adaboost algorithm for down syndrome disease recognition,Lecture Notes in Networks and Systems,2020," 119, pp. 47–53","0
Citations","Agarwal, P., Chaudhary, M., Nijhawan, R."
5,Conference Paper,A Deep Learning Approach for Classification of Onychomycosis Nail Disease,Lecture Notes in Electrical Engineering,2020," 605, pp. 1112–1118","3
Citations","Aishwarya,, Goel, A., Nijhawan, R."
6,Conference Paper,A Hybrid Deep Learning Approach for Automatic Fish Classification,Lecture Notes in Electrical Engineering,2020," 605, pp. 427–436","3
Citations","Chhabra, H.S., Srivastava, A.K., Nijhawan, R."
7,Book Chapter,A Proposed Framework Approach for Mapping Glacier Hazard Zones,Lecture Notes in Civil Engineering,2020," 33, pp. 547–555","0
Citations","Nijhawan, R., Das, J."
8,Conference Paper,Classification of lesions in retinal fundus images for diabetic retinopathy using transfer learning,"Proceedings - 2019 International Conference on Information Technology, ICIT 2019",2019," pp. 342–347, 9031884","6
Citations","Gupta, S., Panwar, A., Goel, S., ...Nijhawan, R., Singh, A.K."
9,Conference Paper,A Classifier Approach using Deep Learning for Human Activity Recognition,Proceedings of the IEEE International Conference Image Information Processing,2019," 2019-November, pp. 486–490, 8985926","2
Citations","Rawat, S.S., Bisht, A., Nijhawan, R."
10,Conference Paper,A Deep Learning based CNN framework approach for Plankton Classification,Proceedings of the IEEE International Conference Image Information Processing,2019," 2019-November, pp. 268–273, 8985838","3
Citations","Rawat, S.S., Bisht, A., Nijhawan, R."
